Type,Features,General Category ,General Applications,Name of the Model,Citation,Website
Video/Image,Using continuous manifold the anatomical facial movements defining a human expression from single image,Facial Expression,Action Unit Annotation,GANimation,"Pumarola, A., Agudo, A., Martinez, A. M., Sanfeliu, A., & Moreno-Noguer, F. (2018). Ganimation: Anatomically-aware facial animation from a single image. In Proceedings of the European conference on computer vision (ECCV) (pp. 818-833).",GitHub - albertpumarola/GANimation: GANimation: Anatomically-aware Facial Animation from a Single Image (ECCV'18 Oral) [PyTorch]
Video/Image,pose estimation and tracking,Body Pose,Pose Estimation,Google MediaPipe,"See the website on the right, the guide",https://ai.google.dev/edge/mediapipe/solutions/guide
Video/Image,pose estimation/precise position,Body Pose,Pose Estimation,Deep High-Resolution Representation Learning for Human Pose Estimation,"Sun, K., Xiao, B., Liu, D., & Wang, J. (2019). Deep high-resolution representation learning for human pose estimation. In Proceedings of the IEEE/CVF conference on computer vision and pattern recognition (pp. 5693-5703).", https://github.com/leoxiaobin/deep-high-resolution-net.pytorch
Video/Image,pose estimation and tracking,Body Pose,Pose Estimation,Simple Baselines for Human Pose Estimation and Tracking,"Xiao, B., Wu, H., & Wei, Y. (2018). Simple baselines for human pose estimation and tracking. In Proceedings of the European conference on computer vision (ECCV) (pp. 466-481).",https://github.com/Microsoft/human-pose-estimation.pytorch
Video/Image ,pose estimation and tracking,Body Pose,Pose Estimation,Open Pose,"See the website on the right, the guide",https://github.com/CMU-Perceptual-Computing-Lab/openpose
Video/Image/Visual,Good features to track and calculate the displacements,Opyflow is a basic image velocimetry tool to simplify your video or frame sequences processing.,Optical Flow,Opyflow,,https://github.com/groussea/opyflow
Video/Visual,"Depth in dynamic scene, [such as the interactions between individuals and position in the video and their movement patterns in the video]",movement indices,depth in the scene/videos,Learning Monocular Depth in Dynamic Scenes via Instance-Aware Projection Consistency,"Lee, S., Im, S., Lin, S., & Kweon, I. S. (2021, May). Learning monocular depth in dynamic scenes via instance-aware projection consistency. In Proceedings of the AAAI conference on artificial intelligence (Vol. 35, No. 3, pp. 1863-1872).",https://github.com/x4nth055/emotion-recognition-using-speech
Video/Visual,movement  and the estimation of motion,motion estimation model,motion.movement estimation,Optical Flow,The tutorial can be checked the general website here: https://nanonets.com/blog/optical-flow/,https://github.com/chuanenlin/optical-flow
Video/Visual,Optical flow fields,Optical Flow,Visual crowded analysis,Optical Flow Dataset and Benchmark for Visual Crowd Analysis,"Schröder, G., Senst, T., Bochinski, E., & Sikora, T. (2018, November). Optical flow dataset and benchmark for visual crowd analysis. In 2018 15th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS) (pp. 1-6). IEEE.",https://github.com/tsenst/CrowdFlow
Video/Visual,Person trajectories (up to 1451),Optical Flow,Visual crowded analysis,Optical Flow Dataset and Benchmark for Visual Crowd Analysis,"Schröder, G., Senst, T., Bochinski, E., & Sikora, T. (2018, November). Optical flow dataset and benchmark for visual crowd analysis. In 2018 15th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS) (pp. 1-6). IEEE.",https://github.com/tsenst/CrowdFlow
Video/Visual,Dense pixel trajectories,Optical Flow,Visual crowded analysis,Optical Flow Dataset and Benchmark for Visual Crowd Analysis,"Schröder, G., Senst, T., Bochinski, E., & Sikora, T. (2018, November). Optical flow dataset and benchmark for visual crowd analysis. In 2018 15th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS) (pp. 1-6). IEEE.",https://github.com/tsenst/CrowdFlow
Video/Visual,Dense Motion Estimation,-,Motion estimation,Insta-DM,"Lee, S., Im, S., Lin, S., & Kweon, I. S. (2021, May). Learning monocular depth in dynamic scenes via instance-aware projection consistency. In Proceedings of the AAAI conference on artificial intelligence (Vol. 35, No. 3, pp. 1863-1872).",GitHub - SeokjuLee/Insta-DM: Learning Monocular Depth in Dynamic Scenes via Instance-Aware Projection Consistency (AAAI 2021)
Video/Visual,Locate the objects and people,Video Analysis,Video Analysis,VideoFinder,No direct research article reference. ,"GitHub - win4r/VideoFinder-Llama3.2-vision-Ollama: VideoFinder is an advanced video analysis tool powered by multimodal AI, designed to help users easily locate and identify specific objects or people within video content. By combining the capabilities of Llama Vision model with a streamlined web interface, it enables real-time, frame-by-frame video analysis with natural language descriptions."
Video/Visual,Video frame extraction (capture the key frame of the videos),capture key frames from videos,capture key frames from videos,Video Frame Extractor,No direct research article reference. ,"GitHub - BSM0oo/intelligent-video-frame-extractor: An AI-powered tool that intelligently extracts and analyzes key frames from videos using computer vision and GPT-4 Vision. Perfect for educational content, presentations, and lectures."
Video/Visual ,Real-Time Intermediate Flow Estimation,Motion Estimation,Motion Estimation,RIFE (Real Time Intermediate Flow Estimation),"Huang, Z., Zhang, T., Heng, W., Shi, B., & Zhou, S. (2022, October). Real-time intermediate flow estimation for video frame interpolation. In European Conference on Computer Vision (pp. 624-642). Cham: Springer Nature Switzerland.",GitHub - hzwer/ECCV2022-RIFE: ECCV2022 - Real-Time Intermediate Flow Estimation for Video Frame Interpolation
Video/Visual ,Pose estimation,"Human motions, pose estimators",Motion/pose estimation,SmoothNet,"Zeng, A., Yang, L., Ju, X., Li, J., Wang, J., & Xu, Q. (2022, October). Smoothnet: A plug-and-play network for refining human poses in videos. In European Conference on Computer Vision (pp. 625-642). Cham: Springer Nature Switzerland.","GitHub - cure-lab/SmoothNet: [ECCV 2022] Official implementation of the paper ""SmoothNet: A Plug-and-Play Network for Refining Human Poses in Videos"""
Video/Visual ,Autonomous Driving,motion forecasting model,motion forecasting model,LaneGCN: Learning Lane Graph Representations for Motion Forecasting,"Liang, M., Yang, B., Hu, R., Chen, Y., Liao, R., Feng, S., & Urtasun, R. (2020). Learning lane graph representations for motion forecasting. In Computer Vision–ECCV 2020: 16th European Conference, Glasgow, UK, August 23–28, 2020, Proceedings, Part II 16 (pp. 541-556). Springer International Publishing.",GitHub - uber-research/LaneGCN: [ECCV2020 Oral] Learning Lane Graph Representations for Motion Forecasting
